factory_code	EF_code	transformer_name	voltage	ONAN_val	ONAF_val	operation_start_time	dga_diag_time	dga_h2	dga_c2h2	dga_c2h4	dga_c2h6	dga_ch4	dga_c3h8	dga_co	dga_co2	dga_o2	dga_n2	dga_fluc	load_percent	coil_max_temp	dielec_str_te_1	dielec_str_te_2	dielec_str_te_3	dielec_str_te_4	dielec_str_te_5	dielec_str_te_6	acid_measure_val	moisture_rslt	furan_diag_time	furan_5H2F	furan_2FOL	furan_2FAL	furan_2ACF	furan_5M2F	part_discharge_diag	oltc_96T_diag	oltc_rslt	oltc_type	thermal_img_temp	noise_diag	fire_vul_type	fire_spread_loc	emerge_response_1s	redundancy	ato	online_og_chk	offline_safety_chk	sec_num	alarm_num	insul_1st_lvup	high_insul_adt	double_insul	55k_install	sfra_test	rip_install	vacuum_set	점검자	비고
H1	EF1	TR134	154000	35	43.75	2024-04-13	2020-06-01	0	0	33	288	86	79	424	1480	9665	33426	30	6.2	48	40.3	48.2	51.9	51.8	43.0	53.0	0.02	17.2	2020-06-01	0	0	12	0	0	양호	정상	13000	Oil	이상	정상	몰드	옥내	불가	N+N	적용	적용	적용	4	5	적용	미적용	적용	적용	미적용	미적용	적용	홍길동68	정기점검
H2	EF1	TR135	154000	80	30	2016-04-03	2020-06-01	0	0	99	394	80	12	69	1935	28136	97546	1	78.0	54	58.9	54.4	37.2	30.2	47.7	48.7	0.03	29.8	2020-06-01	0	0	3	0	0	양호	이상	13000	Oil	정상	이상	유입	옥내	불가	N+N	적용	적용	적용	4	5	적용	적용	미적용	적용	적용	미적용	적용	홍길동69	정기점검
H1	EF1	TR136	22900	35	30	2021-07-08	2020-06-01	0	0	83	288	26	54	490	2063	26974	90086	1	32.2	56	41.2	40.4	49.0	34.2	42.6	30.0	0.02	19.3	2020-06-01	0	0	2	0	0	이상	정상	18000	Oil	정상	이상	몰드	옥내	불가	N+N	적용	적용	적용	4	5	미적용	적용	적용	적용	적용	적용	적용	홍길동70	정기점검
K1	EF1	TR137	22900	30	43.75	2024-09-06	2020-06-01	0	0	10	394	76	86	316	1688	15789	91847	-1	52.9	41	41.1	34.4	43.6	44.7	41.5	32.9	0.03	21.4	2020-06-01	0	0	7	0	0	이상	정상	13000	Oil	이상	정상	유입	옥외	불가	N+N	적용	적용	적용	4	5	적용	적용	적용	미적용	적용	적용	적용	홍길동71	정기점검
H1	EF1	TR138	154000	80	43.75	2021-03-14	2020-06-01	0	0	72	0	55	23	567	1633	23461	45611	1	94.5	49	49.1	43.2	34.6	42.3	48.6	32.2	0.03	30.3	2020-06-01	0	0	7	0	0	이상	정상	13000	Vaccum	이상	이상	몰드	옥외	불가	N+N	적용	적용	적용	4	5	적용	적용	적용	적용	적용	적용	미적용	홍길동72	정기점검
H1	EF1	BANK135	154000	80	100	2016-03-04	2020-06-01	0	0	99	394	31	65	576	1501	29492	61516	30	69.5	50	50.2	50.7	49.2	37.1	52.1	56.6	0.03	24.5	2020-06-01	0	0	14	0	0	양호	정상	13000	Vaccum	정상	정상	몰드	옥외	불가	N+0	적용	적용	미적용	4	5	적용	미적용	적용	적용	미적용	적용	적용	홍길동73	정기점검
K1	EF1	TR139	22900	35	37.5	2023-11-01	2020-06-01	0	0	94	288	74	9	123	2305	23166	95869	30	8.9	44	55.9	41.5	42.5	50.4	59.8	57.2	0.03	18.8	2020-06-01	0	0	4	0	0	양호	정상	13000	Oil	이상	이상	몰드	옥외	가능	N+N	적용	적용	적용	4	5	미적용	적용	적용	적용	적용	적용	적용	홍길동74	정기점검
H1	EF1	TR140	22900	35	100	2023-09-08	2020-06-01	0	0	51	394	32	0	62	608	19759	99160	30	49.8	58	37.2	44.5	30.6	39.3	55.7	59.8	0.02	16.7	2020-06-01	0	0	14	0	0	양호	정상	9000	Oil	정상	정상	유입	옥외	가능	N+N	적용	적용	적용	4	5	적용	적용	적용	적용	적용	적용	미적용	홍길동75	정기점검
K1	EF1	TR141	22900	25	100	2017-10-21	2020-06-01	0	0	97	0	68	60	246	2225	16870	34278	-17	38.5	42	49.2	50.4	53.5	45.7	34.4	30.4	0.03	16.9	2020-06-01	0	0	1	0	0	이상	정상	18000	Vaccum	이상	정상	몰드	옥내	불가	N+N	적용	적용	적용	4	5	적용	미적용	적용	적용	미적용	적용	적용	홍길동76	정기점검
H2	EF1	TR142	154000	30	37.5	2024-08-12	2020-06-01	0	0	68	394	75	55	66	2758	9372	57043	-1	14.7	42	40.8	35.1	38.2	52.1	55.3	43.9	0.03	29.5	2020-06-01	0	0	3	0	0	이상	정상	13000	Oil	정상	이상	유입	옥내	가능	N+N	적용	적용	미적용	4	5	적용	적용	적용	적용	적용	적용	적용	홍길동77	정기점검
H1	EF1	TR143	154000	80	100	2016-06-25	2020-06-01	0	0	15	0	55	27	542	1630	11518	62546	1	42.1	42	51.6	43.7	34.2	40.6	56.2	53.5	0.03	17.6	2020-06-01	0	0	19	0	0	양호	이상	13000	Oil	이상	이상	유입	옥내	가능	N+N	적용	적용	적용	4	5	적용	적용	적용	적용	미적용	적용	미적용	홍길동78	정기점검
H2	EF1	TR144	154000	80	37.5	2019-10-02	2020-06-01	0	0	25	288	15	31	119	1115	26249	91670	1	92.1	58	55.2	37.1	41.1	51.3	39.5	30.0	0.03	15.0	2020-06-01	0	0	1	0	0	양호	정상	13000	Vaccum	정상	정상	몰드	옥외	가능	N+1	미적용	적용	적용	4	5	적용	적용	미적용	미적용	적용	미적용	미적용	홍길동79	정기점검
H2	EF1	TR145	22900	80	37.5	2023-12-14	2020-06-01	0	0	57	0	5	55	563	1996	9994	91103	-1	52.3	60	58.6	30.2	34.8	51.3	32.0	47.4	0.03	23.0	2020-06-01	0	0	3	0	0	양호	이상	6000	Oil	이상	이상	유입	옥내	가능	N+N	적용	적용	적용	4	5	미적용	적용	적용	미적용	적용	적용	미적용	홍길동80	정기점검
H2	EF1	TR146	154000	80	37.5	2020-11-05	2020-06-01	0	0	83	0	72	17	594	1734	11380	43585	30	98.2	55	43.7	38.4	58.1	55.8	39.7	54.0	0.03	31.4	2020-06-01	0	0	1	0	0	이상	정상	6000	Oil	정상	정상	유입	옥외	불가	N+0	미적용	적용	미적용	4	5	적용	적용	적용	적용	적용	적용	적용	홍길동81	정기점검
P1	EF1	BANK136	154000	25	43.75	2016-11-27	2020-06-01	0	0	32	288	50	87	488	858	12018	72764	30	37.7	49	49.7	47.1	44.1	40.5	34.2	54.5	0.02	28.5	2020-06-01	0	0	16	0	0	이상	이상	0	Oil	이상	이상	몰드	옥내	가능	N+1	적용	미적용	적용	4	5	적용	미적용	적용	적용	적용	적용	미적용	홍길동82	정기점검
H2	EF1	TR147	154000	80	30	2015-07-30	2020-06-01	0	0	57	0	17	24	644	1431	14802	70323	60	88.4	56	48.5	49.9	37.1	56.0	35.0	34.8	0.02	21.1	2020-06-01	0	0	10	0	0	이상	정상	13000	Vaccum	이상	정상	유입	옥외	불가	N+1	적용	미적용	적용	4	5	적용	적용	적용	적용	미적용	적용	적용	홍길동83	정기점검
H1	EF1	TR148	154000	80	37.5	2022-10-11	2020-06-01	0	0	56	394	34	61	255	2679	15112	79346	-17	15.8	60	40.8	55.6	47.3	59.1	57.0	43.1	0.02	34.3	2020-06-01	0	0	12	0	0	양호	이상	13000	Oil	정상	정상	몰드	옥내	가능	N+1	적용	적용	적용	4	5	적용	적용	적용	적용	적용	적용	적용	홍길동84	정기점검
H2	EF1	BANK137	22900	80	37.5	2016-10-14	2020-06-01	0	0	99	394	37	88	503	914	17870	91428	-1	63.0	59	49.9	33.2	56.5	45.2	57.0	36.5	0.03	19.8	2020-06-01	0	0	5	0	0	이상	이상	6000	Oil	정상	이상	몰드	옥외	가능	N+N	적용	적용	적용	4	5	적용	미적용	미적용	적용	적용	적용	적용	홍길동85	정기점검
P1	EF1	TR149	154000	25	37.5	2017-11-23	2020-06-01	0	0	95	394	89	62	202	2864	10156	30368	-17	94.5	46	56.3	56.5	55.4	57.6	50.7	37.3	0.02	20.1	2020-06-01	0	0	10	0	0	양호	정상	0	Oil	이상	정상	유입	옥내	불가	N+N	적용	적용	적용	4	5	적용	적용	적용	적용	적용	적용	적용	홍길동86	정기점검
H1	EF1	TR150	22900	25	37.5	2018-10-29	2020-06-01	0	0	30	394	4	24	643	1632	19053	88342	-17	7.5	48	33.2	45.8	38.2	59.8	50.9	46.8	0.02	23.4	2020-06-01	0	0	0	0	0	이상	정상	18000	Oil	이상	이상	몰드	옥외	불가	N+N	적용	적용	적용	4	5	미적용	적용	적용	적용	적용	적용	적용	홍길동87	정기점검
H1	EF1	TR151	154000	30	100	2016-02-13	2020-06-01	0	0	66	0	86	38	366	883	20426	62864	-1	65.2	60	34.2	40.0	43.5	35.5	46.9	52.4	0.03	15.8	2020-06-01	0	0	2	0	0	이상	이상	18000	Oil	정상	이상	유입	옥내	불가	N+N	미적용	미적용	적용	4	5	적용	미적용	적용	적용	적용	적용	적용	홍길동88	정기점검
H1	EF1	BANK138	22900	25	100	2020-03-11	2020-06-01	0	0	4	288	74	44	189	2673	11734	53160	-1	27.9	41	36.6	39.5	48.0	32.3	40.0	31.1	0.02	30.0	2020-06-01	0	0	20	0	0	양호	이상	18000	Oil	정상	이상	몰드	옥외	가능	N+1	미적용	적용	적용	4	5	적용	적용	적용	적용	적용	적용	적용	홍길동89	정기점검
P1	EF1	BANK139	154000	35	100	2023-12-27	2020-06-01	0	0	20	0	93	15	458	767	26281	65169	60	90.4	57	54.9	40.3	33.4	46.3	33.6	34.5	0.02	30.0	2020-06-01	0	0	4	0	0	양호	정상	6000	Vaccum	정상	정상	몰드	옥내	불가	N+N	적용	적용	적용	4	5	미적용	적용	적용	적용	적용	미적용	미적용	홍길동90	정기점검
K1	EF1	BANK140	22900	25	37.5	2021-11-14	2020-06-01	0	0	66	0	4	23	331	2897	29607	93628	1	66.9	56	47.4	48.5	42.5	40.0	55.9	31.8	0.02	27.5	2020-06-01	0	0	9	0	0	이상	정상	18000	Oil	정상	이상	몰드	옥내	가능	N+N	적용	적용	적용	4	5	적용	적용	적용	적용	적용	적용	적용	홍길동91	정기점검
H1	EF1	BANK141	22900	35	100	2017-12-02	2020-06-01	0	0	36	0	59	64	165	759	28454	30663	60	83.5	42	43.6	40.4	56.6	52.9	30.5	60.0	0.02	26.7	2020-06-01	0	0	3	0	0	이상	정상	13000	Oil	이상	정상	유입	옥내	가능	N+1	적용	적용	적용	4	5	적용	적용	적용	적용	적용	적용	적용	홍길동92	정기점검
K1	EF1	TR152	22900	25	30	2024-04-11	2020-06-01	0	0	24	288	17	25	359	2980	21571	96396	30	9.6	41	40.8	37.1	54.8	52.8	45.1	36.4	0.02	34.5	2020-06-01	0	0	4	0	0	양호	이상	6000	Vaccum	정상	이상	몰드	옥내	불가	N+1	미적용	적용	미적용	4	5	미적용	적용	적용	적용	적용	적용	적용	홍길동93	정기점검
H2	EF1	TR153	22900	35	37.5	2024-08-11	2020-06-01	0	0	81	0	52	99	536	1033	14768	74422	-1	18.6	57	37.5	33.1	34.7	44.7	36.2	43.8	0.02	30.2	2020-06-01	0	0	2	0	0	양호	이상	18000	Oil	이상	이상	유입	옥외	가능	N+N	미적용	적용	적용	4	5	적용	적용	적용	미적용	적용	적용	적용	홍길동94	정기점검
H2	EF1	TR154	154000	30	100	2020-02-19	2020-06-01	0	0	92	288	90	82	349	1311	23478	87412	30	19.3	43	60.0	53.7	36.7	37.0	53.4	47.8	0.02	29.7	2020-06-01	0	0	2	0	0	이상	정상	0	Oil	이상	정상	유입	옥외	가능	N+0	적용	적용	적용	4	5	미적용	적용	적용	적용	미적용	적용	적용	홍길동95	정기점검
H1	EF1	TR155	22900	80	30	2023-05-03	2020-06-01	0	0	57	288	9	76	382	1816	20145	48077	1	50.6	49	54.8	52.0	54.3	40.5	53.5	57.0	0.02	27.5	2020-06-01	0	0	7	0	0	양호	정상	9000	Oil	정상	정상	몰드	옥내	불가	N+1	적용	적용	미적용	4	5	미적용	적용	적용	적용	적용	적용	적용	홍길동96	정기점검
P1	EF1	BANK142	154000	80	43.75	2022-04-30	2020-06-01	0	0	21	288	59	19	604	1574	25575	41914	60	56.6	45	47.9	46.6	44.3	55.2	46.7	51.8	0.03	31.5	2020-06-01	0	0	5	0	0	양호	이상	0	Vaccum	정상	정상	유입	옥내	가능	N+1	적용	적용	적용	4	5	적용	적용	적용	적용	적용	적용	적용	홍길동97	정기점검
H2	EF1	TR156	154000	30	43.75	2023-12-05	2020-06-01	0	0	38	0	92	69	148	777	12413	97385	-1	16.3	42	39.0	47.7	59.3	57.0	40.7	39.4	0.03	32.8	2020-06-01	0	0	19	0	0	이상	정상	6000	Oil	이상	정상	몰드	옥내	가능	N+1	적용	미적용	적용	4	5	적용	적용	적용	적용	미적용	적용	적용	홍길동98	정기점검
P1	EF1	TR157	22900	35	37.5	2017-03-11	2020-06-01	0	0	21	288	36	31	273	1984	22434	30995	-17	90.8	57	38.1	51.0	40.1	53.2	39.3	49.5	0.02	16.5	2020-06-01	0	0	17	0	0	양호	이상	18000	Vaccum	이상	정상	유입	옥내	불가	N+N	적용	적용	적용	4	5	적용	미적용	미적용	적용	적용	적용	적용	홍길동99	정기점검
H1	EF1	BANK143	22900	25	100	2020-10-21	2020-06-01	0	0	55	288	37	30	494	2874	17760	86624	-1	66.1	57	59.4	50.0	35.6	47.2	47.0	51.3	0.02	20.2	2020-06-01	0	0	14	0	0	양호	정상	18000	Vaccum	이상	정상	몰드	옥내	불가	N+N	적용	적용	적용	4	5	적용	적용	적용	적용	적용	미적용	적용	홍길동100	정기점검
