사업장명	EF_code	변압기명	전압	ONAN_val	ONAF_val	operation_start_time	dga_diag_time	dga_h2	dga_c2h2	dga_c2h4	dga_c2h6	dga_ch4	dga_c3h8	dga_co	dga_co2	dga_o2	dga_n2	dga_fluc	load_percent	coil_max_temp	dielec_str_te_1	dielec_str_te_2	dielec_str_te_3	dielec_str_te_4	dielec_str_te_5	dielec_str_te_6	acid_measure_val	moisture_rslt	furan_diag_time	furan_5H2F	furan_2FOL	furan_2FAL	furan_2ACF	furan_5M2F	part_discharge_diag	oltc_96T_diag	oltc_rslt	oltc_type	thermal_img_temp	noise_diag	fire_vul_type	fire_spread_loc	emerge_response_1s	redundancy	ato	online_og_chk	offline_safety_chk	sec_num	alarm_num	insul_1st_lvup	high_insul_adt	double_insul	55k_install	sfra_test	rip_install	vacuum_set
H2	EF1	BANK86	154000	80	100	2021-09-23	2020-06-01	0	0	92	394	17	45	464	2762	13589	72400	-17	90.5	46	35.3	52.2	40.9	56.2	44.7	59.5	0.03	31.4	2020-06-01	0	0	3	0	0	양호	정상	13000	Vaccum	이상	이상	몰드	옥외	불가	N+1	미적용	적용	적용	4	5	적용	미적용	미적용	적용	적용	적용	미적용
P1	EF1	BANK87	22900	30	30	2020-12-06	2020-06-01	0	0	87	394	18	34	449	1589	19431	94209	60	95.6	58	42.5	35.9	40.8	36.3	47.0	36.0	0.02	25.4	2020-06-01	0	0	6	0	0	이상	이상	13000	Vaccum	정상	이상	유입	옥외	가능	N+N	적용	적용	미적용	4	5	적용	적용	적용	적용	적용	적용	적용
P1	EF1	TR87	22900	80	30	2022-08-20	2020-06-01	0	0	87	0	4	90	382	1829	12942	88895	1	53.4	57	44.6	47.1	39.0	38.5	31.8	58.5	0.03	19.0	2020-06-01	0	0	9	0	0	이상	이상	13000	Oil	정상	이상	몰드	옥외	불가	N+N	적용	적용	적용	4	5	적용	적용	적용	적용	미적용	적용	적용
H1	EF1	TR88	154000	35	37.5	2015-04-27	2020-06-01	0	0	2	0	92	52	427	2344	22081	30774	-1	97.6	58	51.0	40.6	54.9	56.5	34.3	36.4	0.03	24.7	2020-06-01	0	0	20	0	0	양호	이상	13000	Vaccum	이상	이상	몰드	옥내	가능	N+0	적용	미적용	적용	4	5	적용	적용	적용	적용	적용	적용	미적용
P1	EF1	BANK88	22900	30	43.75	2023-05-26	2020-06-01	0	0	84	394	63	73	427	611	19700	33045	60	73.6	59	52.8	38.8	57.4	45.6	57.0	37.8	0.03	24.9	2020-06-01	0	0	19	0	0	양호	이상	6000	Oil	이상	이상	유입	옥내	불가	N+1	적용	적용	적용	4	5	적용	적용	적용	적용	적용	미적용	적용
P1	EF1	BANK89	154000	25	30	2020-10-13	2020-06-01	0	0	28	288	57	17	539	1124	23086	76693	-17	54.5	58	31.3	42.9	37.0	36.7	32.5	32.1	0.02	19.1	2020-06-01	0	0	14	0	0	이상	정상	0	Vaccum	이상	정상	유입	옥내	불가	N+N	미적용	적용	적용	4	5	적용	미적용	적용	적용	미적용	적용	적용
P1	EF1	TR89	22900	35	43.75	2019-11-14	2020-06-01	0	0	66	394	7	19	97	2542	28138	50612	30	57.1	41	55.6	45.6	32.5	30.3	38.3	39.3	0.03	32.8	2020-06-01	0	0	12	0	0	이상	이상	0	Oil	이상	이상	몰드	옥내	불가	N+0	미적용	미적용	미적용	4	5	미적용	미적용	적용	적용	미적용	적용	적용
H2	EF1	TR90	22900	35	100	2022-11-03	2020-06-01	0	0	22	288	4	14	112	1614	9478	66835	-1	57.3	48	56.7	44.7	30.1	41.9	50.4	32.6	0.03	31.2	2020-06-01	0	0	7	0	0	이상	이상	18000	Vaccum	이상	정상	유입	옥외	가능	N+1	미적용	미적용	적용	4	5	적용	적용	적용	적용	적용	미적용	적용
P1	EF1	BANK90	22900	35	43.75	2015-04-18	2020-06-01	0	0	97	394	23	37	486	519	13487	69026	1	5.6	59	39.5	40.7	40.3	59.0	33.0	32.7	0.03	20.3	2020-06-01	0	0	18	0	0	양호	정상	9000	Oil	정상	이상	유입	옥내	불가	N+1	적용	미적용	적용	4	5	미적용	적용	적용	적용	미적용	적용	적용
H1	EF1	TR91	22900	25	43.75	2015-11-29	2020-06-01	0	0	69	288	96	70	50	1051	25300	54318	1	87.8	42	57.5	53.4	52.8	42.2	39.9	35.2	0.02	15.7	2020-06-01	0	0	19	0	0	이상	이상	9000	Vaccum	이상	정상	유입	옥내	불가	N+N	적용	미적용	적용	4	5	적용	적용	미적용	미적용	적용	미적용	미적용
H2	EF1	BANK91	154000	25	43.75	2017-08-15	2020-06-01	0	0	56	288	78	30	555	1844	14246	48459	-17	30.6	48	54.9	43.8	50.7	51.4	32.2	30.7	0.02	30.4	2020-06-01	0	0	13	0	0	양호	이상	6000	Oil	정상	이상	유입	옥내	불가	N+N	적용	적용	적용	4	5	적용	적용	적용	적용	미적용	적용	미적용
P1	EF1	TR92	154000	25	100	2015-10-02	2020-06-01	0	0	95	0	77	76	282	1598	29220	96041	-17	53.9	51	45.7	45.1	40.6	40.0	37.0	47.9	0.03	17.0	2020-06-01	0	0	4	0	0	양호	이상	18000	Vaccum	정상	정상	몰드	옥내	가능	N+N	적용	적용	적용	4	5	적용	적용	적용	적용	적용	적용	적용
K1	EF1	BANK92	154000	25	30	2024-06-26	2020-06-01	0	0	86	0	64	75	135	1365	16178	91434	1	7.8	52	55.8	32.9	36.3	58.5	42.0	57.7	0.03	20.7	2020-06-01	0	0	20	0	0	양호	정상	13000	Vaccum	정상	이상	몰드	옥외	불가	N+N	적용	적용	적용	4	5	적용	미적용	적용	적용	적용	미적용	적용
K1	EF1	BANK93	22900	35	100	2016-04-22	2020-06-01	0	0	17	394	96	41	417	978	29778	33987	30	3.8	45	50.2	38.6	30.0	38.2	53.0	40.6	0.02	34.9	2020-06-01	0	0	5	0	0	양호	이상	9000	Oil	이상	이상	유입	옥외	불가	N+N	적용	적용	적용	4	5	적용	적용	미적용	적용	적용	적용	적용
H2	EF1	TR93	22900	30	37.5	2021-04-02	2020-06-01	0	0	62	394	97	94	69	1006	14204	49628	-17	89.0	48	32.8	58.9	54.2	38.4	54.1	41.9	0.03	32.4	2020-06-01	0	0	19	0	0	양호	이상	6000	Vaccum	정상	이상	몰드	옥내	불가	N+0	적용	적용	적용	4	5	적용	적용	적용	적용	적용	적용	적용
K1	EF1	BANK94	22900	80	37.5	2021-02-11	2020-06-01	0	0	85	0	97	9	66	601	27232	58852	1	10.6	44	51.2	30.9	36.2	41.0	31.6	59.3	0.02	28.5	2020-06-01	0	0	15	0	0	이상	정상	6000	Vaccum	정상	이상	유입	옥내	가능	N+N	적용	적용	적용	4	5	적용	적용	적용	적용	적용	미적용	적용
H2	EF1	TR94	22900	25	37.5	2022-04-13	2020-06-01	0	0	10	288	5	23	159	2090	15880	58463	1	87.5	50	32.4	31.4	31.0	54.7	42.9	56.3	0.02	16.1	2020-06-01	0	0	12	0	0	이상	이상	13000	Vaccum	이상	정상	유입	옥외	가능	N+N	적용	적용	미적용	4	5	적용	적용	적용	적용	미적용	적용	적용
P1	EF1	BANK95	22900	30	30	2024-05-02	2020-06-01	0	0	15	0	28	64	94	2724	22293	36675	60	55.8	48	39.2	43.6	58.2	46.9	52.8	36.7	0.03	26.6	2020-06-01	0	0	3	0	0	양호	이상	6000	Oil	정상	정상	몰드	옥외	불가	N+1	적용	적용	적용	4	5	적용	미적용	적용	적용	적용	미적용	적용
H1	EF1	BANK96	154000	35	100	2022-04-14	2020-06-01	0	0	30	394	19	54	558	2763	10521	98304	60	64.3	49	36.5	39.3	46.1	52.3	34.0	58.7	0.03	15.9	2020-06-01	0	0	10	0	0	이상	정상	0	Oil	이상	정상	몰드	옥외	가능	N+N	적용	적용	적용	4	5	적용	적용	적용	미적용	적용	적용	적용
K1	EF1	BANK97	22900	25	100	2023-03-05	2020-06-01	0	0	95	288	67	92	374	512	11862	67239	-17	5.6	41	46.7	41.1	45.9	58.5	56.3	42.4	0.03	18.1	2020-06-01	0	0	0	0	0	양호	정상	6000	Oil	정상	이상	유입	옥외	불가	N+1	미적용	미적용	적용	4	5	미적용	적용	미적용	적용	적용	적용	적용
P1	EF1	TR95	154000	35	100	2024-12-23	2020-06-01	0	0	48	288	91	35	164	2420	21666	41831	60	37.3	52	49.1	44.8	59.9	49.3	47.5	59.4	0.02	31.1	2020-06-01	0	0	8	0	0	양호	정상	9000	Oil	이상	이상	유입	옥내	가능	N+N	적용	적용	미적용	4	5	적용	적용	미적용	적용	적용	적용	적용
H2	EF1	TR96	154000	30	100	2024-12-11	2020-06-01	0	0	81	288	61	89	127	1969	14005	87991	30	86.8	60	52.2	32.6	42.8	48.1	47.8	45.4	0.02	21.7	2020-06-01	0	0	20	0	0	양호	이상	13000	Oil	정상	정상	몰드	옥외	불가	N+1	적용	미적용	적용	4	5	적용	적용	적용	적용	적용	적용	적용
H1	EF1	BANK98	154000	80	37.5	2023-07-08	2020-06-01	0	0	21	0	55	82	441	2220	26462	56237	30	35.3	52	45.0	44.0	30.2	39.4	39.2	32.6	0.03	22.9	2020-06-01	0	0	8	0	0	이상	정상	6000	Vaccum	이상	이상	유입	옥외	불가	N+0	미적용	적용	적용	4	5	적용	적용	미적용	적용	적용	적용	적용
K1	EF1	TR97	154000	80	100	2020-03-06	2020-06-01	0	0	18	288	93	63	254	807	15313	46895	30	78.2	51	43.1	51.2	56.6	54.9	42.8	45.7	0.02	21.1	2020-06-01	0	0	17	0	0	이상	정상	0	Vaccum	이상	정상	몰드	옥외	가능	N+N	적용	적용	적용	4	5	미적용	적용	적용	미적용	적용	적용	적용
H1	EF1	BANK99	22900	35	43.75	2016-10-13	2020-06-01	0	0	0	0	65	3	426	1355	16338	91060	-17	67.0	46	44.3	35.1	48.3	55.0	45.7	58.9	0.02	23.5	2020-06-01	0	0	5	0	0	이상	이상	13000	Oil	이상	정상	유입	옥외	불가	N+1	적용	적용	적용	4	5	적용	적용	적용	적용	미적용	적용	미적용
P1	EF1	TR98	154000	25	100	2020-12-22	2020-06-01	0	0	17	394	97	41	347	1018	22333	40441	-17	46.7	48	33.9	40.4	40.4	57.7	59.6	33.8	0.03	27.7	2020-06-01	0	0	16	0	0	양호	이상	13000	Vaccum	이상	이상	유입	옥내	가능	N+1	미적용	적용	적용	4	5	적용	적용	적용	적용	적용	적용	적용
H1	EF1	BANK100	154000	30	43.75	2015-02-14	2020-06-01	0	0	19	0	98	25	314	1432	29158	96366	60	54.8	49	42.0	41.1	40.5	34.5	30.8	45.0	0.02	26.2	2020-06-01	0	0	9	0	0	양호	이상	9000	Oil	이상	이상	유입	옥외	불가	N+1	적용	미적용	적용	4	5	적용	미적용	미적용	적용	적용	적용	적용
H2	EF1	BANK101	154000	35	100	2020-11-20	2020-06-01	0	0	0	394	24	0	513	1817	17319	83403	1	6.6	56	50.0	32.8	54.7	36.2	51.7	51.8	0.03	22.0	2020-06-01	0	0	11	0	0	양호	이상	6000	Vaccum	정상	정상	몰드	옥내	가능	N+N	미적용	적용	미적용	4	5	적용	적용	적용	미적용	적용	적용	적용
K1	EF1	BANK102	22900	30	37.5	2019-03-09	2020-06-01	0	0	2	288	71	89	402	1465	26741	63769	60	91.6	59	51.6	31.4	52.6	42.4	57.3	49.2	0.02	33.6	2020-06-01	0	0	16	0	0	이상	정상	13000	Vaccum	이상	정상	몰드	옥외	가능	N+0	적용	적용	적용	4	5	적용	적용	적용	적용	적용	적용	적용
